대상가구수,평균사용량,평균금액,평균기온,평균최저기온,평균최고기온,등록공장수,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수
4770008,201.56,21156,19.1,13.9,25.0,11567,9496887,4460604,2.13,4607440,4889447
4773180,213.74,23177,23.3,19.8,27.5,11568,9494807,4464840,2.13,4605655,4889152
4779332,277.03,32985,27.3,24.2,31.0,11579,9493211,4469392,2.12,4604405,4888806
4807229,247.22,33227,-1.5,-5.7,3.2,11197,9424873,4447861,2.12,4567739,4857134
4813757,237.7,32909,2.3,-1.9,7.3,11186,9427583,4457982,2.11,4567957,4859626
4818859,204.32,26256,9.8,4.2,16.2,11173,9426404,4463385,2.11,4566299,4860105
4821114,209.6,27168,13.8,8.8,19.0,11160,9422710,4465391,2.11,4563512,4859198
4825130,200.67,25795,19.5,14.6,25.0,11163,9418885,4467999,2.11,4560702,4858183
4828850,215.99,29845,23.4,19.7,27.9,11171,9414093,4469158,2.11,4557609,4856484
4834192,266.43,38599,26.7,23.9,30.2,11185,9411260,4471174,2.1,4555784,4855476
4874414,241.96,31450,-0.5,-3.9,3.6,11217,9384325,4471017,2.1,4538354,4845971
4877485,235.37,30234,3.8,0.2,8.2,11210,9386705,4480607,2.09,4538306,4848399
166462,272.72,29812,2.1,-1.7,7.1,805,342328,136056,2.52,170729,171599
166425,275.16,30368,2.9,-1.9,8.3,804,343788,136629,2.52,171403,172385
167551,256.59,26781,7.8,1.7,14.3,802,344792,137208,2.51,171951,172841
169350,260.61,28001,10.8,4.3,17.9,806,345216,137500,2.51,172176,173040
170352,241.36,24664,18.2,13.0,24.0,807,345373,137893,2.5,172269,173104
172189,247.53,25488,23.2,18.9,28.5,787,345341,138167,2.5,172234,173107
172280,259.25,26486,23.2,20.1,27.1,774,346217,138720,2.5,172660,173557
177603,287.63,32905,-1.7,-6.6,3.3,764,357871,145403,2.46,178656,179215
177640,291.19,33496,3.2,-2.2,9.0,759,359569,146323,2.46,179528,180041
179034,242.89,24120,8.8,3.2,15.1,759,360462,146763,2.46,180030,180432
181729,252.2,26483,13.9,8.1,20.1,761,361396,147292,2.45,180462,180934
182064,235.05,23250,16.8,11.7,22.4,764,362036,147848,2.45,180778,181258
182105,247.31,25091,22.6,18.2,27.8,764,362995,148604,2.44,181328,181667
181737,262.42,27572,26.9,23.0,31.7,769,364364,149580,2.44,181996,182368
185670,282.32,33156,-1.4,-6.6,4.2,775,374377,154890,2.42,186907,187470
185657,288.78,34577,-0.4,-5.6,5.2,778,376399,155990,2.41,187858,188541
185680,256.63,27568,7.7,1.9,13.9,771,377296,156696,2.41,188356,188940
185889,269.7,29213,14.2,7.7,21.6,778,378196,157270,2.4,188778,189418
186004,242.57,25336,18.4,11.7,25.3,781,379340,157846,2.4,189302,190038
186053,248.33,26127,23.3,19.0,28.7,781,380215,158258,2.4,189723,190492
186157,291.24,33259,26.4,22.9,30.9,783,380889,158495,2.4,190038,190851
188082,297.45,38491,-1.2,-6.1,4.4,793,384496,159556,2.41,191769,192727
188130,295.0,41278,2.0,-3.2,8.1,793,385285,160012,2.41,192110,193175
188256,250.0,31781,9.6,2.6,17.1,798,385609,160320,2.41,192212,193397
188401,259.3,33688,13.3,7.3,19.4,798,385825,160474,2.4,192316,193509
188935,245.57,31048,18.5,12.8,24.4,802,386050,160604,2.4,192393,193657
189992,254.42,34042,23.1,18.3,28.5,803,386126,160615,2.4,192435,193691
191456,278.24,38682,25.6,22.7,29.9,809,386192,160562,2.41,192449,193743
193822,285.25,41969,0.1,-3.8,4.8,830,386944,160942,2.4,192704,194240
193871,288.14,42669,4.0,-0.1,8.7,833,387193,161303,2.4,192836,194357
576430,238.08,26351,5.2,1.8,9.5,2867,1147037,469007,2.45,589233,557804
576344,241.79,27015,6.0,1.4,11.0,2863,1145710,469551,2.44,588626,557084
576392,227.6,24385,9.6,4.6,14.9,2848,1144563,470294,2.43,588127,556436
577010,231.96,25373,12.3,7.0,18.0,2826,1144098,471153,2.43,587902,556196
577013,214.86,22304,18.1,13.9,23.3,2830,1143148,472255,2.42,587434,555714
